9789974953888;null;1;null;null;Hurley, Tonya;Alfaguara;null;2008
9789875663053;null;1;null;null;Huxley, Aldous;DEBOLS!LLO;null;2007
9789974881884;null;1;null;null;Ivanier, Federico;Alfaguara;null;2017
9789877383300;null;1;null;null;J., MAAS Sarah;Alfaguara;null;2000
9789875667099;null;1;null;null;King, Stephen;DEBOLS!LLO;null;2014
9786073119122;null;1;null;null;King, Stephen;DEBOLS!LLO;null;2013
9788400000000;null;1;null;null;King, Stephen;Charles Scribner's Sons;null;2015
9786077111184;null;1;null;null;King, Stephen;DEBOLS!LLO;null;2017
9788466331326;null;1;null;null;King, Stephen;Suma de Letras;null;2016
9786073125413;null;1;null;null;King, Stephen;DEBOLS!LLO;null;2014
9788491050681;null;1;null;null;Kipling, Rudyard;PENGUIN CLASICOS;null;2015
9788415594628;null;1;null;null;Lange, Erin;Nube de Tinta;null;2015
9789877380132;null;1;null;null;Legardinier, Gilles;Alfaguara;null;2014
9788420419428;null;1;null;null;Lemaitre, Pierre;Alfaguara;Ficción;2016
9788420410869;null;1;null;null;Lemaitre, Pierre;Alfaguara;null;2015
9788483468876;null;1;null;null;Levrero, Mario;DEBOLS!LLO;null;2016
9788499899442;null;1;null;null;Levrero, Mario;DEBOLS!LLO;null;2012
9788499080260;null;1;null;null;Levrero, Mario;DEBOLS!LLO;Ficción;2009
9789974957640;null;1;null;null;Lissardy., Ana Laura;Aguilar;null;2013
9789974954878;null;1;null;null;Lissardy., Ana Laura;Aguilar;null;2011
9789877380712;null;1;null;null;Llosa, Mario Vargas;Alfaguara;null;2016
9788490625934;null;1;null;null;Llosa, Mario Vargas;DEBOLS!LLO;Lima (Peru);2017
9788490625651;null;1;null;null;Llosa, Mario Vargas;DEBOLS!LLO;null;2015
9789877380712;null;1;null;null;Llosa, Mario Vargas;Alfaguara;null;2014
9789870431138;null;1;null;null;LLOSA, MARIO VARGAS;Alfaguara;null;2013
9788420625034;null;1;null;null;Llosa, Mario Vargas;DEBOLS!LLO;Contemporánea;1900
9788420419169;null;1;null;null;Llosa, Mario Vargas;Alfaguara;Lust;2015
9789974955837;null;1;null;null;Long, Ruperto;Aguilar;null;2012
9788420486765;null;1;null;null;García Lorca, Federico;Alfaguara;Juvenil de no ficción;2017
9786073152464;null;1;null;null;Maas, Sarah J.;Alfaguara;Ficción adultos jóvenes;2017
9786073143714;null;1;null;null;Maas, Sarah J.;Alfaguara;Ficción juvenil;2016
9789877383386;null;1;null;null;Maas, Sarah J.;Alfaguara;null;2014
9789877381450;null;1;null;null;Machale, D. J.;Alfaguara;null;2014
9789877381788;null;1;null;null;Magoon, Kekla;Alfaguara;null;2000
9788420473581;null;1;null;null;Mallo, Agustín Fernández;Alfaguara;Ficción;2008
9788420422343;null;1;null;null;Mallo, Agustín Fernández;Alfaguara;Ficción;2009
9789974950337;null;1;null;null;Mancha, Eduardo Rejduch de la;Santillana;null;2005
9789870409847;null;1;null;null;Vincent, Manuel;Alfaguara;null;2000
9789870409847;null;1;null;null;Vincent, Manuel;Alfaguara;null;2008
9789871138128;null;1;null;null;García Marquez, Gabriel;DEBOLS!LLO;null;2003
9789871138067;null;1;null;null;García Marquez, Gabriel;Sudamericana;Literatura crítica;2003
9789871138036;null;1;null;null;García Marquez, Gabriel;Sudamericana;Ficción;2003
9788500000000;null;1;null;null;García Marquez, Gabriel;DEBOLS!LLO;Ficción;2014
9788497592413;null;1;null;null;García Marquez, Gabriel;DEBOLS!LLO;Colecciones literarias;2003
9788480000000;null;1;null;null;Martin, Gerald;DEBOLS!LLO;null;2011
9789875669840;null;1;null;null;García Marquez, Gabriel;DEBOLS!LLO;null;2014
9789974952454;null;1;null;null;Mattos., Tomás de;Punto de Lectura;null;2008
9788420000000;null;1;null;null;Mead, Richelle;Alfaguara;Juvenil;2014
9788491291244;null;1;null;null;Meyer, Stephenie;SUMA;null;2017
9788466337656;null;1;null;null;Montero, Rosa;Alfaguara;null;2017
9788416195053;null;1;null;null;Montes, Raphael;Reservoir Books;null;2015
9786073146210;null;1;null;null;Morton, Kate;DEBOLS!LLO;null;2013
9788466340878;null;1;null;null;Moyes, Jojo;DEBOLS!LLO;Juvenil de no ficción;2017
9788466638906;null;1;null;null;Neill, Fiona;Ediciones B;Ficción;2008
9788483657744;null;1;null;null;Nugent, Liz;Suma de Letras;Ficción;2015
9789974955950;null;1;null;null;O'Donnell., Pacho;Aguilar;null;2012
9788466334280;null;1;null;null;Onetti, Juan Carlos;DEBOLS!LLO;null;2016
9788466334310;null;1;null;null;Onetti, Juan Carlos;DEBOLS!LLO;null;2016
9788466334273;null;1;null;null;Onetti, Juan Carlos;DEBOLS!LLO;null;2016
9788466334327;null;1;null;null;Onetti, Juan Carlos;DEBOLS!LLO;Ficción;2016
9788466334303;null;1;null;null;Onetti, Juan Carlos;DEBOLS!LLO;null;2016
9788466330978;null;1;null;null;Onetti, Juan Carlos;DEBOLS!LLO;null;2016
9788466334297;null;1;null;null;Onetti, Juan Carlos;DEBOLS!LLO;null;2016
9788499890852;null;1;null;null;Orwell, George;DEBOLS!LLO;null;2013
9788483466575;null;1;null;null;Orwell, George;DEBOLS!LLO;Educación;2011
9789875669062;null;1;null;null;Orwell, George;RANDOM HOUSE MONDADORI;null;2014
9789875666023;null;1;null;null;Vierci, Pablo;DEBOLS!LLO;null;2010
9789974957626;null;1;null;null;Paláez, Fernando;Aguilar;null;2000
9789974741058;null;1;null;null;"Pampillón, Andrés; Temponi, Jorge";Aguilar;null;2016
9788466329149;null;1;null;null;Pérez-Reverte, Arturo;DEBOLS!LLO;null;2016
9788491050186;null;1;null;null;Quevedo, Francisco de;PENGUIN CLÁSICOS;null;2015
9789974736955;null;1;null;null;Raffo, Laura;Aguilar;null;2016
9789870415923;null;1;null;null;Ramos, Pablo;Alfaguara;null;2010
5788406286871;null;1;null;null;Reeve, Philip;Alfaguara;null;2005
9789974736634;null;1;null;null;Restrepo, Laura;Alfaguara;null;2016
9789974953932;null;1;null;null;Reyes., Andrés;Aguilar;null;2010
9789877382051;null;1;null;null;Roncagliolo, Santiago;Alfaguara;Ficción peruana;2016
9789974748521;null;1;null;null;Rosencof, Mauricio;Alfaguara;null;2017
9789974723979;null;1;null;null;Rosencof, Mauricio;Alfaguara;null;2015
9789877381856;null;1;null;null;Ryan, Jeanne;Alfaguara;null;2000
9788490628720;null;1;null;null;Saramago, José;Alfaguara;Ficción;2016
9788466631693;null;1;null;null;Segura, Roberto;Ediciones B;Comics;2007
9789974881518;null;1;null;null;Serrano, Marcela;DEBOLS!LLO;null;2011
9789075721645;null;1;null;null;Serrano, Marcela;Alfaguara;null;2016
9788491051343;null;1;null;null;Shakespeare, William;PENGUIN CLASICOS;null;2016
9788491051367;null;1;null;null;Shakespeare, William;PENGUIN CLÁSICOS;null;2016
9788491051503;null;1;null;null;Shakespeare, William;PENGUIN CLÁSICOS;null;2016
9788491051374;null;1;null;null;Shakespeare, William;PENGUIN CLÁSICOS;null;2016
9788415729815;null;1;null;null;Sparks, Nicholas;Roca;null;2015
9788491052326;null;1;null;null;Stevenson, Robert L.;LITERATURA RANDOM HOUSE;null;2011
9788490438527;null;1;null;null;Stones, Rebeca;MONTENA;null;2017
9786071125255;null;1;null;null;Taylor, Laini;Alfaguara Juvenil;null;2014
9788420410982;null;1;null;null;Taylor, Laini;Alfaguara;null;2013
9786071131607;null;1;null;null;Taylor, Laini;Alfaguara Juvenil;null;2014
9789974888265;null;1;null;null;Trenchi, Natalia;Aguilar;null;2018
9789974653351;null;1;null;null;Varece, Juan Antonio;Aguilar;null;2015
9788466631235;null;1;null;null;Varios, Autores  Autores;Ediciones B;Comics;2007
9789974888180;null;1;null;null;Velando, Helen;Alfaguara;null;2010
9789974956551;null;1;null;null;Velando, Helen;Alfaguara;null;2017
9788420413167;null;1;null;null;Vicent, Manuel;Alfaguara;null;2015
9789974955424;null;1;null;null;Vilaró, Carlos Páez;Aguilar;Artists;2012
9788420486888;null;1;null;null;"Villardon, Esther; Moreno, Laura";Alfaguara;Comics & Graphic Novels;2018
